party,venue,account_name,account_type,asset,amount,amount_usd,conv_rate,amount_old,amount_usd_old,conv_rate_old,diff
AAVEV2,HRP,Main Account,AccountType.MAIN,ETH,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APCAPKY,BINANCE,apcapital1@hiddenroad.com,AccountType.MAIN,USDT,8.3e-07,8.302773781414355e-07,1.00033419053185,8.3e-07,8.301064059029813e-07,1.00012819988311,0.0
APCAPKY,FTX,APCAPKY1,AccountType.UNIVERSAL,USD,0.00613253,0.00613253,1.0,0.00613253,0.00613253,1.0,0.0
APCAPKY,HRP,Main Account,AccountType.MAIN,ETH,0.00504763,15.733029838113673,0.0,0.00504763,12.93684384801743,0.0,0.0
APCAPKY,HRP,Main Account,AccountType.MAIN,USD,944752.1949488572,944752.1949488572,0.0,963166.0550149486,963166.0550149486,0.0,-18413.86006609141
APCAPKY,HRP,Main Account,AccountType.MAIN,USDC,-1.0,-0.999878886483735,0.0,0.0,0.0,0.0,-1.0
APCAPKY,HRP,Main Account,AccountType.MAIN,USDT,-19.190001680050045,-19.1964147969177,0.0,1999980.80999832,2000237.207304384,0.0,-2000000.0
APCAPKY,OKEX,APCAPKY1,AccountType.MAIN,USDT,8.5e-07,8.502840619520725e-07,1.00033419053185,8.5e-07,8.501089699006435e-07,1.00012819988311,0.0
APCAPKY,OKEX,APCAPKY1,AccountType.UNIVERSAL,ETH,1.7822682e-09,5.555177136620779e-06,3116.91424254822,1.7822682e-09,4.567871535490339e-06,2562.95406914085,0.0
APCAPKY,OKEX,APCAPKY1,AccountType.UNIVERSAL,USDT,1.971e-09,1.971658689538276e-09,1.00033419053185,1.971e-09,1.9712526819696102e-09,1.00012819988311,0.0
BELVEKY,BINANCE,hrp_48384514151@hiddenroad.com,AccountType.UMFUTURE,BUSD,0.0,0.0,0.0,294692.36654019,294663.5963831257,0.999902372235148,-294692.36654019
BELVEKY,BINANCE,hrp_48384514151@hiddenroad.com,AccountType.UMFUTURE,USDT,0.0,0.0,0.0,-1711.26418714,-1711.4835710087618,1.00012819988311,1711.26418714
BELVEKY,BINANCE,hrp_48384514153@hiddenroad.com,AccountType.UMFUTURE,USDT,0.0,0.0,0.0,49130.61662163,49136.91516093801,1.00012819988311,-49130.61662163
BELVEKY,HRP,Main Account,AccountType.MAIN,BUSD,0.0,0.0,0.0,-300000.0,-299970.7116705444,0.0,300000.0
BELVEKY,HRP,Main Account,AccountType.MAIN,USD,251000.0,251000.0,0.0,993764.8279568664,993764.8279568664,0.0,-742764.8279568664
BELVEKY,HRP,Main Account,AccountType.MAIN,USDT,0.0,0.0,0.0,-50000.0,-50006.409994155496,0.0,50000.0
BINANCE,BINANCE,apcapital1@hiddenroad.com,AccountType.MAIN,USDT,8.3e-07,8.302773781414355e-07,1.00033419053185,8.3e-07,8.301064059029813e-07,1.00012819988311,0.0
BINANCE,BINANCE,binancebvi@hiddenroad.com,AccountType.MAIN,BNB,11020.9815,5163908.492712721,468.552505302066,11020.8815,4212725.625897673,382.24942586468,0.1000000000003638
BINANCE,BINANCE,binancebvi@hiddenroad.com,AccountType.MAIN,BTC,3.99993941,166779.89840430842,41695.6061852718,0.73893941,28506.29912463948,38577.3160002922,3.261
BINANCE,BINANCE,binancebvi@hiddenroad.com,AccountType.MAIN,BUSD,19000.0,19000.906476196506,1.0000477092735,2219000.0,2218783.363989793,0.999902372235148,-2200000.0
BINANCE,BINANCE,binancebvi@hiddenroad.com,AccountType.MAIN,ETH,0.00254562,7.9344792341156,3116.91424254822,330.00259166,845781.4851220234,2562.95406914085,-330.00004604000003
BINANCE,BINANCE,binancebvi@hiddenroad.com,AccountType.MAIN,USDC,10000.0,9998.78886483735,0.999878886483735,8800.0,8797.615666304413,0.999729052989138,1200.0
BINANCE,BINANCE,binancebvi@hiddenroad.com,AccountType.MAIN,USDT,5931.93177494,5933.914170374765,1.00033419053185,1237166.41856248,1237325.0231527274,1.00012819988311,-1231234.48678754
BINANCE,BINANCE,binancebvi@hiddenroad.com,AccountType.UMFUTURE,BNB,32.0,14993.680169666111,468.552505302066,32.0,12231.98162766976,382.24942586468,0.0
BINANCE,BINANCE,fasanara@hiddenroad.com,AccountType.CMFUTURE,ADA,0.0,0.0,0.0,1090083.49763465,867570.0569296783,0.795874865377011,-1090083.49763465
BINANCE,BINANCE,fasanara@hiddenroad.com,AccountType.CMFUTURE,AVAX,0.0,0.0,0.0,5000.0,368482.6930103636,73.6965386020727,-5000.0
BINANCE,BINANCE,fasanara@hiddenroad.com,AccountType.CMFUTURE,BTC,33.36509904,1391178.02990443,41695.6061852718,59.49965996,2295337.184186853,38577.3160002922,-26.134560920000006
BINANCE,BINANCE,fasanara@hiddenroad.com,AccountType.CMFUTURE,DOT,0.0,0.0,0.0,5777.5736438,98051.7120742187,16.971088231725,-5777.5736438
BINANCE,BINANCE,fasanara@hiddenroad.com,AccountType.CMFUTURE,ETH,1056.4636139,3292906.4848988736,3116.91424254822,422.47549556,1082785.290457799,2562.95406914085,633.9881183399999
BINANCE,BINANCE,fasanara@hiddenroad.com,AccountType.CMFUTURE,LUNA,0.0,0.0,0.0,7591.08862707,647173.3521421414,85.2543533524699,-7591.08862707
BINANCE,BINANCE,fasanara@hiddenroad.com,AccountType.MAIN,AR,0.0,0.0,0.0,3253.317968,0.0,0.0,-3253.317968
BINANCE,BINANCE,fasanara@hiddenroad.com,AccountType.MAIN,AVAX,0.0,0.0,0.0,5367.295572,395551.1053106319,73.6965386020727,-5367.295572
BINANCE,BINANCE,fasanara@hiddenroad.com,AccountType.MAIN,BNB,14.20840223,6657.382461205962,468.552505302066,1e-07,3.8224942586468e-05,382.24942586468,14.208402130000001
BINANCE,BINANCE,fasanara@hiddenroad.com,AccountType.MAIN,BTC,30.35713995,1265759.3522663815,41695.6061852718,172.18577581,6642465.084177839,38577.3160002922,-141.82863586
BINANCE,BINANCE,fasanara@hiddenroad.com,AccountType.MAIN,BUSD,3672482.24751285,3672657.458972821,1.0000477092735,2258.52339827,2258.302903678761,0.999902372235148,3670223.72411458
